,Report_Date,China_inner mongolia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
79,2020-04-10,128,529.4627663918332,1302582.2155201775,False,80,148.35192872764497,2605164.4310403545
80,2020-04-11,155,529.4627663918332,1302582.2155201775,False,81,151.61291155731791,2605164.4310403545
81,2020-04-12,189,529.4627663918332,1302582.2155201775,False,82,154.9455710857637,2605164.4310403545
82,2020-04-13,190,529.4627663918332,1302582.2155201775,False,83,158.3514825838337,2605164.4310403545
83,2020-04-14,190,529.4627663918332,1302582.2155201775,False,84,161.83225593438868,2605164.4310403545
84,2020-04-15,190,529.4627663918332,1302582.2155201775,False,85,165.389536392423,2605164.4310403545
85,2020-04-16,193,529.4627663918332,1302582.2155201775,False,86,169.0250053618655,2605164.4310403545
86,2020-04-17,193,529.4627663918332,1302582.2155201775,False,87,172.74038118942207,2605164.4310403545
87,2020-04-18,193,529.4627663918332,1302582.2155201775,False,88,176.53741997583307,2605164.4310403545
88,2020-04-19,193,529.4627663918332,1302582.2155201775,False,89,180.41791640492738,2605164.4310403545
89,2020-04-20,194,529.4627663918332,1302582.2155201775,False,90,184.38370459086164,2605164.4310403545
